Year,Series,concept.REF_AREA,concept.COMPOSITE_BREAKDOWN,Value
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000006,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,1
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000006,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,9
2015,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000006,,2
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000006,,9
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000006,,140
2015,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000007,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,21
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000007,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,12
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000007,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,16
2015,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000007,,21
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000007,,22
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000007,,35
2015,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000009,CL_COMP_BREAKDOWN.HZT_LNDSL,4
2015,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000009,,4
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000009,,32
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000009,,20
2015,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000011,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,2
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000011,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,4
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000011,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,8
2015,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000011,,2
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000011,,43
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000011,,65
2015,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000013,CL_COMP_BREAKDOWN.HZT_CNFLCT,11
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000013,CL_COMP_BREAKDOWN.HZT_CNFLCT,15
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000013,CL_COMP_BREAKDOWN.HZT_CNFLCT,13
2015,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000013,,11
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000013,,57
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000013,,74
2015,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000012,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,1
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000012,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,3
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000012,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,5
2015,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000012,,1
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000012,,14
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000012,,7
